x y z m
-0.20 0.40 0.20 0.0093
-0.20 0.40 0.30 0.0093
-0.20 0.50 -0.30 0.0093
-0.20 0.50 -0.20 0.0093
-0.20 0.50 -0.10 0.0093
-0.20 0.50 0.00 0.0093
-0.20 0.60 -0.30 0.0093
-0.20 0.60 -0.20 0.0093
-0.10 -0.50 -0.30 0.0093
-0.10 -0.50 -0.20 0.0093
-0.10 -0.50 -0.10 0.0093
-0.10 -0.40 -0.30 0.0093
-0.10 -0.40 -0.20 0.0093
-0.10 -0.40 -0.10 0.0093
-0.10 -0.40 0.00 0.0093
-0.10 -0.40 0.10 0.0093
-0.10 -0.30 -0.30 0.0093
-0.10 -0.30 -0.20 0.0093
-0.10 -0.30 -0.10 0.0093
-0.10 -0.30 0.00 0.0093
-0.10 -0.30 0.10 0.0093
-0.10 -0.30 0.20 0.0093
-0.10 -0.30 0.30 0.0093
-0.10 -0.30 0.40 0.0093
-0.10 -0.20 -0.30 0.0093
-0.10 -0.20 -0.20 0.0093
-0.10 -0.20 -0.10 0.0093
-0.10 -0.20 0.00 0.0093
-0.10 -0.20 0.10 0.0093
-0.10 -0.20 0.20 0.0093
-0.10 -0.20 0.30 0.0093
-0.10 -0.20 0.40 0.0093
-0.10 -0.20 0.50 0.0093
-0.10 -0.20 0.60 0.0093
-0.10 -0.10 -0.30 0.0093
-0.10 -0.10 -0.20 0.0093
-0.10 -0.10 -0.10 0.0093
-0.10 -0.10 0.00 0.0093
-0.10 -0.10 0.10 0.0093
-0.10 -0.10 0.20 0.0093
-0.10 -0.10 0.30 0.0093
-0.10 -0.10 0.40 0.0093
-0.10 -0.10 0.50 0.0093
-0.10 -0.10 0.60 0.0093
-0.10 -0.10 0.70 0.0093
-0.10 0.00 -0.30 0.0093
-0.10 0.00 -0.20 0.0093
-0.10 0.00 -0.10 0.0093
-0.10 0.00 0.00 0.0093
-0.10 0.00 0.10 0.0093
-0.10 0.00 0.20 0.0093
-0.10 0.00 0.30 0.0093
-0.10 0.00 0.40 0.0093
-0.10 0.00 0.50 0.0093
-0.10 0.00 0.60 0.0093
-0.10 0.00 0.70 0.0093
-0.10 0.10 -0.30 0.0093
-0.10 0.10 -0.20 0.0093
-0.10 0.10 -0.10 0.0093
-0.10 0.10 0.00 0.0093
-0.10 0.10 0.10 0.0093
-0.10 0.10 0.20 0.0093
-0.10 0.10 0.30 0.0093
-0.10 0.10 0.40 0.0093
-0.10 0.10 0.50 0.0093
-0.10 0.10 0.60 0.0093
-0.10 0.10 0.70 0.0093
-0.10 0.20 -0.30 0.0093
-0.10 0.20 -0.20 0.0093
-0.10 0.20 -0.10 0.0093
-0.10 0.20 0.00 0.0093
-0.10 0.20 0.10 0.0093
-0.10 0.20 0.20 0.0093
-0.10 0.20 0.30 0.0093
-0.10 0.20 0.40 0.0093
-0.10 0.20 0.50 0.0093
-0.10 0.20 0.60 0.0093
-0.10 0.30 -0.30 0.0093
-0.10 0.30 -0.20 0.0093
-0.10 0.30 -0.10 0.0093
-0.10 0.30 0.00 0.0093
-0.10 0.30 0.10 0.0093
-0.10 0.30 0.20 0.0093
-0.10 0.30 0.30 0.0093
-0.10 0.30 0.40 0.0093
-0.10 0.40 -0.30 0.0093
-0.10 0.40 -0.20 0.0093
-0.10 0.40 -0.10 0.0093
-0.10 0.40 0.00 0.0093
-0.10 0.40 0.10 0.0093
-0.10 0.50 -0.30 0.0093
-0.10 0.50 -0.20 0.0093
-0.10 0.50 -0.10 0.0093
0.00 -0.50 -0.30 0.0093
